Day,Title,Cert Focus,Main Topics,Tools Used,Hours,Cert Exam Objective
Day 99,CI/CD Pipeline with Azure DevOps,,"Azure Repos, Pipelines, DevOps Projects overview","Azure DevOps, Obsidian, GitHub",,AZ-400: Design a CI/CD pipeline for app delivery
Day 100,CI/CD Pipeline with Google Cloud Build,,"Triggers, build steps, source repos","Google Cloud Build, gcloud CLI, Obsidian, GitHub",,Google ACE: Implement CI/CD pipelines using Cloud Build
Day 101,CI/CD Pipeline with AWS CodePipeline,,"CodePipeline, CodeCommit, CodeBuild integration","AWS Console, CodePipeline, Obsidian, GitHub",,AWS DevOps Engineer: Implement and manage CI/CD pipelines
Day 102,Linux+: Working with System Services and Cron Jobs,,"systemd, cron, timers, journald","Debian Terminal, systemctl, journalctl, Obsidian, GitHub",,CompTIA Linux+ XK0-005: 2.2 - Manage and configure system services
Day 103,AWS VPC Networking and Security Groups,,"Subnets, route tables, security groups, NACLs","AWS Console, VPC Dashboard, Obsidian, GitHub",,AWS CCP: Define virtual networks and security features
Day 104,"Azure Networking: VNets, NSGs, and Peerings",,"VNets, subnets, NSGs, peering concepts","Azure Portal, Azure CLI, Obsidian, GitHub",,AZ-900: Describe core networking resources in Azure
Day 105,"GCP Networking: VPCs, Firewalls, Routes",,"Custom VPC, firewall rules, routing tables","GCP Console, gcloud CLI, Obsidian, GitHub",,Google ACE: Configure and manage cloud network components
Day 106,Cloud Storage Security: Encryption & Access,,"Encryption at rest/in transit, access policies, versioning","AWS S3, Azure Blob, GCP Buckets, Obsidian, GitHub",,CompTIA Cloud+: 2.3 - Implement appropriate security controls
Day 107,Cloud Monitoring: AWS CloudWatch and Logs,,"CloudWatch metrics, alarms, custom dashboards","AWS CloudWatch, Obsidian, GitHub",,"AWS SysOps: Implement monitoring, metrics, and logging"
Day 108,Azure Monitor and Log Analytics,,"Azure Monitor, metrics, workbooks, log queries","Azure Monitor, KQL, Obsidian, GitHub",,AZ-104: Monitor resources using Azure Monitor
Day 109,GCP Monitoring and Cloud Operations Suite,,"Cloud Monitoring, Cloud Logging, dashboards, uptime checks","GCP Console, gcloud CLI, Obsidian, GitHub",,Google ACE: Monitor cloud resources using Cloud Monitoring and Logging
Day 110,Intro to Kubernetes and Container Orchestration,,"Kubernetes components, cluster architecture, pods vs services","Minikube, kubectl, Obsidian, GitHub",,CompTIA Cloud+: 3.4 - Summarize orchestration concepts
Day 111,Deploying Apps with Kubernetes on Docker Desktop,,"kubectl apply, service exposure, port-forwarding","Docker Desktop, kubectl, Obsidian, GitHub",,CompTIA Cloud+: 3.5 - Deploy and manage container orchestration systems
Day 112,Kubernetes on AWS (EKS) Basics,,"EKS cluster setup, node groups, IAM roles for service accounts","AWS Console, eksctl, kubectl, Obsidian, GitHub",,AWS SysOps: Deploy and manage containers using Amazon EKS
Day 113,Kubernetes on Azure (AKS) Basics,,"AKS cluster provisioning, node pools, kubectl config","Azure CLI, Azure Portal, kubectl, Obsidian, GitHub",,AZ-104: Manage Azure Kubernetes Service (AKS)
Day 114,Kubernetes on GCP (GKE) Basics,,"GKE cluster creation, node pool scaling, deploying apps","GCP Console, gcloud CLI, kubectl, Obsidian, GitHub",,Google ACE: Deploy and manage workloads with GKE
Day 115,Cloud Cost Management and Billing Tools,,"AWS Pricing Calculator, Azure Cost Management, GCP Billing Explorer","AWS, Azure, GCP Billing Dashboards, Obsidian, GitHub",,Cloud Essentials+: 3.3 - Explain cloud billing and pricing models
Day 116,Cloud+ Review and Core Concepts Reinforcement,,"Cloud models, services, resource provisioning, shared responsibility, CI/CD","Obsidian, GitHub, flashcards, self-assessment tools",,"Cloud+: Domain 1–4 Review (Architecture, Security, Deployment, Operations)"
Day 117,Cloud Essentials+ Final Review & Scenario Practice,,"Business value of cloud, governance, risk, cloud adoption frameworks","Practice exams, scenario walkthroughs, Obsidian, GitHub",,Cloud Essentials+: All domains review
Day 118,CloudNetX Concepts: Advanced Networking & Automation,,"Cloud DNS, route tables, gateway configs, IaC concepts","Terraform (preview), Obsidian, GitHub",,"CloudNetX: Virtual networks, DNS, VPN, API gateways, automation"
Day 119,CloudNetX Lab Day: Networking & Automation,,Deploy automated network infrastructure with Terraform/GitHub Actions,"Terraform, GitHub Actions, AWS/Azure/GCP consoles, Obsidian",,CloudNetX: Practical scenarios & toolsets for automation
Day 120,"Cloud Phase Wrap-Up: Portfolio, Review, and Planning",,"Portfolio organization, screenshots, final summaries, GitHub updates, plan next phase","Obsidian, GitHub, VS Code, LinkedIn, Markdown export",,All Cloud Phase certs: Capstone
Day 121,CloudNetX Core: Advanced IAM Architecture (Multi-Cloud),,"Role trust relationships, service accounts, Azure AD sync, federated identity","AWS IAM, Azure AD, GCP IAM, Obsidian, GitHub",,CloudNetX: Cross-cloud IAM comparison and role federation
Day 122,Designing VPC Networks Across Clouds,,"CIDR planning, route tables, cross-cloud peering strategies","AWS VPC, Azure VNets, GCP VPC, diagrams.net, Obsidian",,CloudNetX: Advanced VPC/Subnet design and peering models
Day 123,"Cloud DNS, Load Balancing & Failover",,"Route 53, Azure DNS, GCP Cloud DNS, ALB/ELB, front door, health checks","AWS Console, Azure Portal, GCP Console, Obsidian",,CloudNetX: Configure and monitor resilient DNS and load balancing
Day 124,"Hybrid Cloud Gateways, VPN, and Direct Connect",,"Site-to-site VPNs, bastion hosts, secure tunneling, gateway design","AWS Direct Connect, Azure VPN Gateway, GCP Cloud VPN, Obsidian",,"CloudNetX: Secure hybrid access with VPN, Direct Connect, ExpressRoute"
Day 125,Cloud Storage Replication & Cross-Region Backups,,"S3 replication, Azure GRS, GCP Multi-region buckets, backup strategy","AWS S3, Azure Blob, GCP Storage, GitHub, Obsidian",,CloudNetX: Design and implement multi-region data protection strategies
Day 126,Infrastructure as Code: Terraform Fundamentals,,"Terraform syntax, providers, modules, variables, plan/apply/destroy","Terraform CLI, VS Code, GitHub, Obsidian",,CloudNetX: Define infrastructure using declarative IaC principles
Day 127,Terraform Lab: Deploy Multi-Cloud VMs,,"Terraform for AWS, Azure, GCP compute instances with shared tagging","Terraform CLI, AWS/Azure/GCP consoles, GitHub, Obsidian",,CloudNetX: Provision compute infrastructure across providers using IaC
Day 128,Advanced Cost Optimization Strategies (Multi-Cloud),,"Spot instances, reserved instances, cost calculators, budgets, alerting","AWS Pricing Calculator, Azure Cost Management, GCP Billing, Obsidian, GitHub",,"CloudNetX: Optimize cloud spend across AWS, Azure, and GCP"
Day 129,Scaling Strategies: Auto Scaling and Load Testing,,"Auto Scaling groups, load tests, scaling policies, stress simulation","AWS ASG, Azure VMSS, Apache JMeter, Obsidian",,CloudNetX: Design for elasticity and performance efficiency
Day 130,Cloud Architecture Review: Single vs Multi-Region Designs,,"HA design, RTO/RPO, DNS routing, multi-region failover","Diagrams.net, AWS Route 53, Azure Traffic Manager, GCP Load Balancer, Obsidian",,"CloudNetX: Architect scalable, resilient infrastructure"
Day 131,Container Security and Image Scanning,,"Vulnerability scanning, trusted registries, runtime security","Docker, Trivy, AWS ECR, Azure Defender, GCP Artifact Registry, Obsidian",,CloudNetX: Secure containerized deployments
Day 132,Kubernetes Security Best Practices,,"RBAC, PodSecurityPolicy, secrets management, network policies","kubectl, K9s, OPA Gatekeeper, Obsidian, GitHub",,CloudNetX: Secure multi-tenant Kubernetes clusters
Day 133,DevSecOps Pipeline with GitHub Actions,,"SAST, container scanning, GitHub security workflow templates","GitHub Actions, Trivy, CodeQL, Obsidian",,CloudNetX: Integrate security in CI/CD pipelines
Day 134,Threat Modeling and Cloud Security Posture Management,,"STRIDE, CSPM tools, shared responsibility walkthroughs","Threat Dragon, Prisma Cloud (demo), Obsidian, GitHub",,CloudNetX: Assess and manage cloud security risks
Day 135,CloudNetX Capstone Intro: Multi-Cloud Design Brief,,"Gathering requirements, constraints, business goals, compliance expectations","Obsidian, diagrams.net, Markdown templates, GitHub",,CloudNetX: Translate stakeholder needs into technical cloud architectures
Day 136,Design a 3-Tier Application for Multi-Cloud Deployment,,"Frontend/backend/database design across AWS, Azure, GCP","Diagrams.net, AWS/Azure/GCP Consoles, Obsidian, GitHub",,CloudNetX: Architect hybrid application delivery solutions
Day 137,Infrastructure as Code: Full App Deployment via Terraform,,"Modules, providers, variables, outputs, Terraform Cloud","Terraform CLI, GitHub, Obsidian",,CloudNetX: Automate infrastructure with reusable IaC modules
Day 138,Monitoring and Logging for Capstone Application,,"Metrics, logs, traces, alerts across providers","CloudWatch, Azure Monitor, GCP Operations, Obsidian",,CloudNetX: Implement monitoring and centralized logging
Day 139,Disaster Recovery and Backup Planning,,"Snapshots, replicas, backup schedules, RTO/RPO validation","AWS Backup, Azure Recovery Services, GCP Snapshots, Obsidian",,CloudNetX: Implement resilient infrastructure and DR plans
Day 140,"Security Review: IAM, Encryption, Audit Logs",,"IAM roles/policies, key management, audit trail validation","AWS IAM/CloudTrail, Azure AD/Key Vault, GCP IAM/Cloud Audit Logs",,CloudNetX: Evaluate the security posture of cloud environments
Day 141,Peer Review & GitHub Publication of Capstone,,"Architecture diagrams, Obsidian write-up, GitHub README & structure","GitHub, Obsidian, Markdown preview, screen recording (optional)",,CloudNetX: Present cloud solution architecture for feedback
Day 142,Capstone Enhancement: CI/CD & Auto Scaling Integration,,"GitHub Actions, deployment pipelines, auto scaling policies","GitHub Actions, AWS ASG, Azure DevOps, GCP Cloud Build, Obsidian",,CloudNetX: Integrate automation pipelines into deployed architecture
Day 143,"Final Testing: Resilience, Performance, and Failure Recovery",,"Simulate outages, load testing, failover checks, cost validation","Apache JMeter, Chaos Monkey (or manual simulation), Obsidian",,CloudNetX: Validate deployment performance under failure conditions
Day 144,"Security Finalization: Policies, Secrets, and Logs",,"KMS review, IAM audit, logs confirmation, secret rotation","AWS KMS, Azure Key Vault, GCP Secrets Manager, Obsidian",,CloudNetX: Finalize and verify security configurations
Day 145,"Documentation Sprint: Diagrams, Notes, and Walkthroughs",,"README.md, architecture diagrams, system flowcharts, decision logs","Obsidian, diagrams.net, GitHub",,CloudNetX: Document and present architecture for stakeholder review
Day 146,Capstone Publishing: GitHub Portfolio and Obsidian Export,,"Project folder organization, Obsidian export, GitHub commits and push","GitHub, Obsidian, VS Code",,CloudNetX: Publish portfolio and knowledge base for career readiness
Day 147,Mock Interview: Cloud Architect Roleplay,,"Explain choices, justify tradeoffs, respond to live troubleshooting","Obsidian notes, peer Q&A, optional screen recording or journaling",,CloudNetX: Demonstrate solution reasoning and technical fluency
Day 148,CloudNetX Practice Exam & Review,,"Scenario review, multiple choice, diagrams, CLI syntax","Custom CloudNetX practice questions, Obsidian, GitHub",,CloudNetX: Practice end-to-end certification scenario questions
Day 149,Final Reflection and Lessons Learned,,"Self-assessment, lessons learned, knowledge gaps, future plans","Obsidian, GitHub journal log",,CloudNetX: Conduct retrospective on learning and skill growth
Day 150,Transition to Data Phase: Portfolio Setup and Cloud Cleanup,,"Clean up cloud resources, archive configs, create new repo/folder structure","AWS/Azure/GCP consoles, GitHub, Obsidian",,CloudNetX: Prepare environment for next phase and ensure sustainability
